Authors,Title,Journal,Year,Host subfamily,Host genus,Host species,Virus subfamily,Virus genus,Virus strain or sequence,Tissue tested?,nSamples,nPositive,Prevalence,Detection type,Study type,Detection method,Detection method specific,Gene/Antigen Target,Sample type,Isolation successful,Country,State or Region,Site,Latitude,Longitude,SamplingYear,SamplingMonth,StartYear,StartMonth,EndYear,EndMonth,Season,Notes
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,59,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,kandal province,NA,11.197,105.061,2015,december,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,76,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,kandal province,NA,11.197,105.061,2016,january,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,105,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,kandal province,NA,11.197,105.061,2016,february,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,102,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,kandal province,NA,11.197,105.061,2016,march,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,77,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,kandal province,NA,11.197,105.061,2016,april,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,78,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,kandal province,NA,11.197,105.061,2016,may,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,88,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,kandal province,NA,11.197,105.061,2016,may,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,98,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,kandal province,NA,11.197,105.061,2016,june,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,107,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,kandal province,NA,11.197,105.061,2016,july,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,99,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,kandal province,NA,11.197,105.061,2016,august,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,39,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,kandal province,NA,11.197,105.061,2016,december,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,97,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,battambang province,NA,12.993,103.161,2013,march,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,88,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,battambang province,NA,12.993,103.161,2013,april,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,111,2,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,battambang province,NA,12.993,103.161,2013,may,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,88,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,battambang province,NA,12.993,103.161,2013,june,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,99,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,battambang province,NA,12.993,103.161,2014,may,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,134,6,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,battambang province,NA,12.993,103.161,2015,april,NA,NA,NA,NA,NA,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",bulletin of the world health organization,2020,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,156,0,,pooled,longitudinal,PCR,duplex nested RT-PCR,N,urine,NA,cambodia,battambang province,NA,12.993,103.161,2015,may,NA,NA,NA,NA,NA,
"Peel, AJ; McKinley, TJ; Baker, KS; Barr, JA; Crameri, G; Hayman, DTS; Feng, YR; Broder, CC; Wang, LF; Cunningham, AA; Wood, JLN",Use of cross-reactive serological assays for detecting novel pathogens in wildlife: Assessing an appropriate cutoff for henipavirus assays in African bats,journal of virological methods,2013,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,"hendra virus, nipah virus",blood or serum,442,60,,single,cross-sectional,serology,virus neutralization test,NA,blood,NA,"ghana, tanzania, uganda, malawi, zambia, sao tome and principe, equatorial guinea",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,
"Peel, AJ; McKinley, TJ; Baker, KS; Barr, JA; Crameri, G; Hayman, DTS; Feng, YR; Broder, CC; Wang, LF; Cunningham, AA; Wood, JLN",Use of cross-reactive serological assays for detecting novel pathogens in wildlife: Assessing an appropriate cutoff for henipavirus assays in African bats,journal of virological methods,2013,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,1498,NA,,single,cross-sectional,serology,luminex assay,NiV sG,blood,NA,"ghana, tanzania, uganda, malawi, zambia, sao tome and principe, equatorial guinea",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,various MFI cutoffs for seropositivity proposed in study; number of positives not reported
"Chua, KB; Wang, LF; Lam, SK; Crameri, G; Yu, M; Wise, T; Boyle, D; Hyatt, AD; Eaton, BT","Tioman virus, a novel paramyxovirus isolated from fruit bats in Malaysia",virology,2001,pteropodinae,pteropus,hypomelanus,rubulavirinae,pararubulavirus,tioman virus,urine,50,4,,pooled,cross-sectional,virus isolation,cell culture,NA,urine,1,malaysia,tioman island,coastal region,2.7902,104.1698,NA,NA,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,73,51,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2010,january,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,80,56,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2012,january,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,67,44,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2014,january,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,122,61,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2016,january,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,105,64,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2017,october,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,21,16,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2009,november,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,71,43,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2010,november,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,93,58,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2012,february,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,65,42,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2010,march,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,62,41,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2011,march,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,81,45,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2012,march,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,123,61,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2016,march,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,117,60,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2016,april,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,75,47,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2010,may,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,90,59,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2014,may,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,101,55,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2012,june,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,101,54,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2013,june,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,13,9,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2009,july,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,66,45,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2010,july,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,81,55,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2011,july,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,110,77,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2017,july,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,72,40,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2010,september,NA,NA,NA,NA,NA,
"Glennon, EE; Becker, DJ; Peel, AJ; Garnier, R; Suu-Ire, RD; Gibson, L; Hayman, DTS; Wood, JLN; Cunningham, AA; Plowright, RK; Restif, O",What is stirring in the reservoir? Modelling mechanisms of henipavirus circulation in fruit bat hosts,philosophical transactions of the royal society b,2019,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,101,61,,single,longitudinal,serology,luminex assay,NiV sG,blood,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2012,september,NA,NA,NA,NA,NA,
"Kirkland, PD; Love, RJ; Philbey, AW; Ross, AD; Davis, RJ; Hart, KG",Epidemiology and control of Menangle virus in pigs,australian veterinary journal,2001,pteropodinae,pteropus,poliocephalus,rubulavirinae,pararubulavirus,menangle virus,blood or serum,80,40,,single,cross-sectional,serology,serum neutralization test,NA,blood,NA,australia,new south wales,nepean river,,,NA,NA,,NA,,NA,NA,
"Kirkland, PD; Love, RJ; Philbey, AW; Ross, AD; Davis, RJ; Hart, KG",Epidemiology and control of Menangle virus in pigs,australian veterinary journal,2001,pteropodinae,pteropus,poliocephalus,rubulavirinae,pararubulavirus,menangle virus,feces,55,0,,single,cross-sectional,virus isolation,cell culture,NA,feces,0,australia,new south wales,nepean river,,,NA,NA,,NA,,NA,NA,
"Kirkland, PD; Love, RJ; Philbey, AW; Ross, AD; Davis, RJ; Hart, KG",Epidemiology and control of Menangle virus in pigs,australian veterinary journal,2001,pteropodinae,pteropus,poliocephalus,rubulavirinae,pararubulavirus,menangle virus,feces,4,0,,pooled,cross-sectional,virus isolation,cell culture,NA,feces,0,australia,new south wales,nepean river,,,NA,NA,,NA,,NA,NA,contaminated with urine
"Philbey, AW; Kirkland, PD; Ross, AD; Field, HE; Srivastava, M; Davis, RJ; Love, RJ",Infection with Menangle virus in flying foxes (Pteropus spp.) in Australia,australian veterinary journal,2008,pteropodinae,pteropus,poliocephalus,rubulavirinae,pararubulavirus,menangle virus,blood or serum,227,94,,single,cross-sectional,serology,virus neutralization test,NA,blood,NA,australia,"new south wales, queensland",NA,,,NA,NA,1995,NA,2000,NA,NA,"n=214 new south wales, n=13 queensland"
"Philbey, AW; Kirkland, PD; Ross, AD; Field, HE; Srivastava, M; Davis, RJ; Love, RJ",Infection with Menangle virus in flying foxes (Pteropus spp.) in Australia,australian veterinary journal,2008,pteropodinae,pteropus,alecto,rubulavirinae,pararubulavirus,menangle virus,blood or serum,28,13,,single,cross-sectional,serology,virus neutralization test,NA,blood,NA,australia,"new south wales, queensland",NA,,,NA,NA,1995,NA,2000,NA,NA,"n=7 new south wales, n=21 queensland"
